item_id,book_title,concept,domain,cluster_description,item_type,description,text,title,numbers,url,combined_text,standard,all_standards
119,Intermediate Algebra 2e,ALGEBRA,Arithmetic with Polynomials & Rational Expressions,Use polynomial identities to solve problems.,title,,Solve Quadratic Equations by Factoring,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:8e386304-d5ea-4328-8d74-7496f3969409.xhtml,Solve Quadratic Equations by Factoring,HSA.APR.C.4,HSA.APR.C.4
120,Intermediate Algebra 2e,ALGEBRA,Arithmetic with Polynomials & Rational Expressions,Use polynomial identities to solve problems.,example,,,,"6.45,6.46",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:8e386304-d5ea-4328-8d74-7496f3969409.xhtml,,HSA.APR.C.4,HSA.APR.C.4
121,Intermediate Algebra 2e,ALGEBRA,Arithmetic with Polynomials & Rational Expressions,Rewrite rational expressions.,section,Multiply and Divide Rational Expressions,,,7.1,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:4fc7ab19-c7ec-482f-a0c5-e54f61f107cf.xhtml,Multiply and Divide Rational Expressions,HSA.APR.D.6,HSA.APR.D.6
122,Intermediate Algebra 2e,ALGEBRA,Arithmetic with Polynomials & Rational Expressions,Rewrite rational expressions.,title,,Simplify rational expressions,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:4fc7ab19-c7ec-482f-a0c5-e54f61f107cf.xhtml,Simplify rational expressions,HSA.APR.D.6,HSA.APR.D.6
123,Intermediate Algebra 2e,ALGEBRA,Arithmetic with Polynomials & Rational Expressions,Rewrite rational expressions.,example,,,,"7.2,7.3,7.4",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:4fc7ab19-c7ec-482f-a0c5-e54f61f107cf.xhtml,,HSA.APR.D.6,HSA.APR.D.6
124,Intermediate Algebra 2e,ALGEBRA,Arithmetic with Polynomials & Rational Expressions,Rewrite rational expressions.,section,Simplify Complex Rational Expressions,,,7.3,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:85bdd3a5-e04f-446c-879e-a5e932ea3623.xhtml,Simplify Complex Rational Expressions,HSA.APR.D.6,HSA.APR.D.6
125,Intermediate Algebra 2e,ALGEBRA,Arithmetic with Polynomials & Rational Expressions,Rewrite rational expressions.,title,,Simplify a Complex Rational Expression by Writing it as Division,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:85bdd3a5-e04f-446c-879e-a5e932ea3623.xhtml,Simplify a Complex Rational Expression by Writing it as Division,HSA.APR.D.6,HSA.APR.D.6
126,Intermediate Algebra 2e,ALGEBRA,Arithmetic with Polynomials & Rational Expressions,Rewrite rational expressions.,example,,,,"7.24,7.25,7.26,7.27",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:85bdd3a5-e04f-446c-879e-a5e932ea3623.xhtml,,HSA.APR.D.6,HSA.APR.D.6
127,Intermediate Algebra 2e,ALGEBRA,Creating Equations,Create equations that describe numbers or relationships.*,section,Find the Equation of a Line,,,3.3,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b7d62225-c09f-478e-8c1d-df46042de0b0.xhtml,Find the Equation of a Line,HSA.CED.A.4,HSA.CED.A.4
128,Intermediate Algebra 2e,ALGEBRA,Creating Equations,Create equations that describe numbers or relationships.*,title,,Find an Equation of the Line Given the Slope and y-intercept,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b7d62225-c09f-478e-8c1d-df46042de0b0.xhtml,Find an Equation of the Line Given the Slope and y-intercept,HSA.CED.A.4,HSA.CED.A.4
129,Intermediate Algebra 2e,ALGEBRA,Creating Equations,Create equations that describe numbers or relationships.*,example,,,,3.24,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b7d62225-c09f-478e-8c1d-df46042de0b0.xhtml,,HSA.CED.A.4,HSA.CED.A.4
130,Intermediate Algebra 2e,ALGEBRA,Creating Equations,Create equations that describe numbers or relationships.*,title,,Find an Equation of the Line Given the Slope and a Point,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b7d62225-c09f-478e-8c1d-df46042de0b0.xhtml,Find an Equation of the Line Given the Slope and a Point,HSA.CED.A.4,HSA.CED.A.4
131,Intermediate Algebra 2e,ALGEBRA,Creating Equations,Create equations that describe numbers or relationships.*,example,,,,3.27,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b7d62225-c09f-478e-8c1d-df46042de0b0.xhtml,,HSA.CED.A.4,HSA.CED.A.4
132,Intermediate Algebra 2e,ALGEBRA,Creating Equations,Create equations that describe numbers or relationships.*,section,Find the Equation of a Line,,,3.3,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b7d62225-c09f-478e-8c1d-df46042de0b0.xhtml,Find the Equation of a Line,HSA.CED.A.4,HSA.CED.A.4
133,Intermediate Algebra 2e,ALGEBRA,Creating Equations,Create equations that describe numbers or relationships.*,title,,Find an Equation of the Line Given Two Points,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b7d62225-c09f-478e-8c1d-df46042de0b0.xhtml,Find an Equation of the Line Given Two Points,HSA.CED.A.4,HSA.CED.A.4
134,Intermediate Algebra 2e,ALGEBRA,Creating Equations,Create equations that describe numbers or relationships.*,example,,,,"3.28,3.29",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b7d62225-c09f-478e-8c1d-df46042de0b0.xhtml,,HSA.CED.A.4,HSA.CED.A.4
135,Intermediate Algebra 2e,ALGEBRA,Creating Equations,Create equations that describe numbers or relationships.*,section,Graphing Systems of Linear Inequalities,,,4.7,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:8b5bc559-9db7-47d7-a180-08b50f0a248f.xhtml,Graphing Systems of Linear Inequalities,HSA.CED.A.4,HSA.CED.A.4
136,Intermediate Algebra 2e,ALGEBRA,Creating Equations,Create equations that describe numbers or relationships.*,title,,Solve a system of linear inequalities by graphing,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:8b5bc559-9db7-47d7-a180-08b50f0a248f.xhtml,Solve a system of linear inequalities by graphing,HSA.CED.A.4,HSA.CED.A.4
137,Intermediate Algebra 2e,ALGEBRA,Creating Equations,Create equations that describe numbers or relationships.*,example,,,,"4.54,4.55,4.56,4.57,4.58",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:8b5bc559-9db7-47d7-a180-08b50f0a248f.xhtml,,HSA.CED.A.4,HSA.CED.A.4
138,Intermediate Algebra 2e,ALGEBRA,Creating Equations,Create equations that describe numbers or relationships.*,section,Solve Mixture Applications with Systems of Equations,,,4.3,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:67b64586-4ca7-4592-806a-141e8a451c70.xhtml,Solve Mixture Applications with Systems of Equations,HSA.CED.A.4,HSA.CED.A.4
139,Intermediate Algebra 2e,ALGEBRA,Creating Equations,Create equations that describe numbers or relationships.*,title,,Solve interest applications,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:67b64586-4ca7-4592-806a-141e8a451c70.xhtml,Solve interest applications,HSA.CED.A.4,HSA.CED.A.4
140,Intermediate Algebra 2e,ALGEBRA,Creating Equations,Create equations that describe numbers or relationships.*,example,,,,4.28,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:67b64586-4ca7-4592-806a-141e8a451c70.xhtml,,HSA.CED.A.4,HSA.CED.A.4
141,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Understand solving equations as a process of reasoning and explain the reasoning.,section,Use a General Strategy to Solve Linear Equations,,,2.1,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:7dd75394-ab7a-48ba-af4a-a3c92a23e31f.xhtml,Use a General Strategy to Solve Linear Equations,HSA.REI.A.2,HSA.REI.A.2
142,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Understand solving equations as a process of reasoning and explain the reasoning.,title,,How to Solve a Linear Equation Using a General Strategy,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:7dd75394-ab7a-48ba-af4a-a3c92a23e31f.xhtml,How to Solve a Linear Equation Using a General Strategy,HSA.REI.A.2,HSA.REI.A.2
143,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Understand solving equations as a process of reasoning and explain the reasoning.,example,,,,"2.2,2.3",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:7dd75394-ab7a-48ba-af4a-a3c92a23e31f.xhtml,,HSA.REI.A.2,HSA.REI.A.2
144,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Understand solving equations as a process of reasoning and explain the reasoning.,section,Solve Rational Equations,,,7.4,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:6045e284-ab6f-4def-b9df-d288b58e0be9.xhtml,Solve Rational Equations,HSA.REI.A.2,HSA.REI.A.2
145,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Understand solving equations as a process of reasoning and explain the reasoning.,title,,How to Solve a Rational Equation,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:6045e284-ab6f-4def-b9df-d288b58e0be9.xhtml,How to Solve a Rational Equation,HSA.REI.A.2,HSA.REI.A.2
146,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Understand solving equations as a process of reasoning and explain the reasoning.,example,,,,"7.33,7.37",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:6045e284-ab6f-4def-b9df-d288b58e0be9.xhtml,,HSA.REI.A.2,HSA.REI.A.2
147,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Solve equations and inequalities in one variable.,section,Solve Linear Inequalities,,,2.5,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:c929c760-07fb-4c52-9491-51030f328e71.xhtml,Solve Linear Inequalities,HSA.REI.B.3,HSA.REI.B.3
148,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Solve equations and inequalities in one variable.,example,,,,"2.50,2.51,2.52,2.53,2.54,2.55",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:c929c760-07fb-4c52-9491-51030f328e71.xhtml,,HSA.REI.B.3,HSA.REI.B.3
149,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Solve equations and inequalities in one variable.,section,Solve Quadratic Equations Using the Quadratic Formula,,,9.3,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:5bc3569f-5f65-4f5e-8249-e37e01d20dce.xhtml,Solve Quadratic Equations Using the Quadratic Formula,HSA.REI.B.4.B,HSA.REI.B.4.B
150,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Solve equations and inequalities in one variable.,example,,,,"9.21,9.22,9.23,9.24,9.25",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:5bc3569f-5f65-4f5e-8249-e37e01d20dce.xhtml,,HSA.REI.B.4.B,HSA.REI.B.4.B
151,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Solve equations and inequalities in one variable.,section,Polynomial Equations,,,6.5,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:8e386304-d5ea-4328-8d74-7496f3969409.xhtml,Polynomial Equations,HSA.REI.B.4.B,HSA.REI.B.4.B
152,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Solve equations and inequalities in one variable.,title,,Solve Quadratic Equations by Factoring,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:8e386304-d5ea-4328-8d74-7496f3969409.xhtml,Solve Quadratic Equations by Factoring,HSA.REI.B.4.B,HSA.REI.B.4.B
153,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Solve equations and inequalities in one variable.,example,,,,"6.45,6.46,6.47",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:8e386304-d5ea-4328-8d74-7496f3969409.xhtml,,HSA.REI.B.4.B,HSA.REI.B.4.B
154,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Solve equations and inequalities in one variable.,section,Solve Quadratic Equations by Completing the Square,,,9.2,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:57db40dc-810a-4ceb-bdb6-ba03274e9da9.xhtml,Solve Quadratic Equations by Completing the Square,HSA.REI.B.4.B,HSA.REI.B.4.B
155,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Solve equations and inequalities in one variable.,example,,,,"9.12,9.13,9.14,9.15,9.16,9.17,9.18,9.19,9.20",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:57db40dc-810a-4ceb-bdb6-ba03274e9da9.xhtml,,HSA.REI.B.4.B,HSA.REI.B.4.B
156,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Solve systems of equations.,section,Solve Systems of Equations Using Matrices,,,4.5,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:2f299a81-c08f-4445-a007-7f84b7ad19bd.xhtml,Solve Systems of Equations Using Matrices,HSA.REI.C.7,HSA.REI.C.7
157,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Solve systems of equations.,example,,,,4.41,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:2f299a81-c08f-4445-a007-7f84b7ad19bd.xhtml,,HSA.REI.C.7,HSA.REI.C.7
158,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Solve systems of equations.,title,,How to Solve a System of Equations Using a Matrix,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:2f299a81-c08f-4445-a007-7f84b7ad19bd.xhtml,How to Solve a System of Equations Using a Matrix,HSA.REI.C.7,HSA.REI.C.7
159,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Solve systems of equations.,section,Solve Systems of Linear Equations with Two Variables,,,4.1,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b9f8475e-9490-4f24-995f-2923b1ed9644.xhtml,Solve Systems of Linear Equations with Two Variables,HSA.REI.C.7,HSA.REI.C.7
160,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Solve systems of equations.,title,,Solve a System of Linear Equations by Graphing,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b9f8475e-9490-4f24-995f-2923b1ed9644.xhtml,Solve a System of Linear Equations by Graphing,HSA.REI.C.7,HSA.REI.C.7
161,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Solve systems of equations.,example,,,,"4.2,4.3,4.4",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b9f8475e-9490-4f24-995f-2923b1ed9644.xhtml,,HSA.REI.C.7,HSA.REI.C.7
162,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Represent and solve equations and inequalities graphically.,section,Graph Linear Equations in Two Variables,,,3.1,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:9d3bc1f0-6330-4e24-b67a-6f07f074d79c.xhtml,Graph Linear Equations in Two Variables,HSA.REI.D.12,HSA.REI.D.12
163,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Represent and solve equations and inequalities graphically.,title,,Plot Points on a Rectangular Coordinate System,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:9d3bc1f0-6330-4e24-b67a-6f07f074d79c.xhtml,Plot Points on a Rectangular Coordinate System,HSA.REI.D.12,HSA.REI.D.12
164,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Represent and solve equations and inequalities graphically.,example,,,,3.1,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:9d3bc1f0-6330-4e24-b67a-6f07f074d79c.xhtml,,HSA.REI.D.12,HSA.REI.D.12
165,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Represent and solve equations and inequalities graphically.,title,,Graph of a Linear Equation,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:9d3bc1f0-6330-4e24-b67a-6f07f074d79c.xhtml,Graph of a Linear Equation,HSA.REI.D.12,HSA.REI.D.12
166,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Represent and solve equations and inequalities graphically.,example,,,,3.2,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:9d3bc1f0-6330-4e24-b67a-6f07f074d79c.xhtml,,HSA.REI.D.12,HSA.REI.D.12
167,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Represent and solve equations and inequalities graphically.,section,Solve Systems of Linear Equations with Two Variables,,,4.1,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b9f8475e-9490-4f24-995f-2923b1ed9644.xhtml,Solve Systems of Linear Equations with Two Variables,HSA.REI.D.12,HSA.REI.D.12
168,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Represent and solve equations and inequalities graphically.,title,,Solve a system of linear equations by graphing,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b9f8475e-9490-4f24-995f-2923b1ed9644.xhtml,Solve a system of linear equations by graphing,HSA.REI.D.12,HSA.REI.D.12
169,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Represent and solve equations and inequalities graphically.,example,,,,"4.2,4.3,4.4,4.5",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:b9f8475e-9490-4f24-995f-2923b1ed9644.xhtml,,HSA.REI.D.12,HSA.REI.D.12
170,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Represent and solve equations and inequalities graphically.,section,Graphing Systems of Linear Inequalities,,,4.7,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:8b5bc559-9db7-47d7-a180-08b50f0a248f.xhtml,Graphing Systems of Linear Inequalities,HSA.REI.D.12,HSA.REI.D.12
171,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Represent and solve equations and inequalities graphically.,title,,Solve a system of linear inequalities by graphing,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:8b5bc559-9db7-47d7-a180-08b50f0a248f.xhtml,Solve a system of linear inequalities by graphing,HSA.REI.D.12,HSA.REI.D.12
172,Intermediate Algebra 2e,ALGEBRA,Reasoning with Equations & Inequalities,Represent and solve equations and inequalities graphically.,example,,,,"4.54,4.55,4.56,4.57,4.58",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:8b5bc559-9db7-47d7-a180-08b50f0a248f.xhtml,,HSA.REI.D.12,HSA.REI.D.12
173,Intermediate Algebra 2e,FUNCTIONS,Interpreting Functions,Understand the concept of a function and use function notation.,section,Relations and Functions,,,3.5,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:59fe6dc4-6e09-4a88-aa1c-b5f72bd79a20.xhtml,Relations and Functions,HSF.IF.A.3,HSF.IF.A.3
174,Intermediate Algebra 2e,FUNCTIONS,Interpreting Functions,Understand the concept of a function and use function notation.,title,,Determine if a Relation is a Function,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:59fe6dc4-6e09-4a88-aa1c-b5f72bd79a20.xhtml,Determine if a Relation is a Function,HSF.IF.A.3,HSF.IF.A.3
175,Intermediate Algebra 2e,FUNCTIONS,Interpreting Functions,Understand the concept of a function and use function notation.,example,,,,"3.45,3.46,3.47",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:59fe6dc4-6e09-4a88-aa1c-b5f72bd79a20.xhtml,,HSF.IF.A.3,HSF.IF.A.3
176,Intermediate Algebra 2e,FUNCTIONS,Interpreting Functions,Understand the concept of a function and use function notation.,section,Relations and Functions,,,3.5,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:59fe6dc4-6e09-4a88-aa1c-b5f72bd79a20.xhtml,Relations and Functions,HSF.IF.A.3,HSF.IF.A.3
177,Intermediate Algebra 2e,FUNCTIONS,Interpreting Functions,Understand the concept of a function and use function notation.,title,,Find the Value of a Function,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:59fe6dc4-6e09-4a88-aa1c-b5f72bd79a20.xhtml,Find the Value of a Function,HSF.IF.A.3,HSF.IF.A.3
178,Intermediate Algebra 2e,FUNCTIONS,Interpreting Functions,Understand the concept of a function and use function notation.,example,,,,"3.48,3.49,3.50",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:59fe6dc4-6e09-4a88-aa1c-b5f72bd79a20.xhtml,,HSF.IF.A.3,HSF.IF.A.3
179,Intermediate Algebra 2e,FUNCTIONS,Interpreting Functions,Understand the concept of a function and use function notation.,title,,12.3 Geometric Sequences and Series,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:08ec2e43-06fd-5f95-ba52-37501b8cb935.xhtml,12.3 Geometric Sequences and Series,HSF.IF.A.3,HSF.IF.A.3
180,Intermediate Algebra 2e,FUNCTIONS,Interpreting Functions,Understand the concept of a function and use function notation.,title,,Determine if a Sequence is Geometric,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:2f5b3bc9-ccfe-42a1-b18e-7aab5baf9079.xhtml,Determine if a Sequence is Geometric,HSF.IF.A.3,HSF.IF.A.3
181,Intermediate Algebra 2e,FUNCTIONS,Interpreting Functions,Understand the concept of a function and use function notation.,example,,,,12.21,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:2f5b3bc9-ccfe-42a1-b18e-7aab5baf9079.xhtml,,HSF.IF.A.3,HSF.IF.A.3
182,Intermediate Algebra 2e,FUNCTIONS,Interpreting Functions,Understand the concept of a function and use function notation.,title,,Find the General Term (nth Term) of a Geometric Sequence,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:2f5b3bc9-ccfe-42a1-b18e-7aab5baf9079.xhtml,Find the General Term (nth Term) of a Geometric Sequence,HSF.IF.A.3,HSF.IF.A.3
183,Intermediate Algebra 2e,FUNCTIONS,Interpreting Functions,Understand the concept of a function and use function notation.,example,,,,"12.23,12.24",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:2f5b3bc9-ccfe-42a1-b18e-7aab5baf9079.xhtml,,HSF.IF.A.3,HSF.IF.A.3
